frametime, crtcoll, drawtime, crtupdate 
2.8356,2.1755,0.6181,0.0304
2.8443,2.1639,0.6387,0.0304
2.9886,2.3281,0.6178,0.0315
2.8393,2.1484,0.6488,0.0307
2.895,2.2358,0.6168,0.0311
2.807,2.1381,0.6271,0.0302
3.0041,2.3448,0.617,0.0308
2.8202,2.1539,0.6244,0.0304
2.8359,2.1758,0.6178,0.0309
2.8489,2.1652,0.6405,0.0304
2.9084,2.2497,0.6157,0.0312
3.0409,2.3563,0.6413,0.0315
2.8992,2.2403,0.6163,0.0308
2.8618,2.1768,0.6415,0.0314
3.1089,2.4457,0.6204,0.0306
3.0982,2.422,0.634,0.0306
2.9371,2.276,0.6188,0.0307
2.9528,2.182,0.701,0.031
2.8781,2.2039,0.6239,0.0334
2.9009,2.1902,0.6598,0.0314
2.8531,2.1812,0.6233,0.0327
2.9142,2.2187,0.6507,0.0323
2.9252,2.2651,0.6177,0.0306
2.9687,2.2986,0.6263,0.0312
2.8799,2.2213,0.6151,0.0314
2.8938,2.2203,0.6302,0.0314
2.8459,2.1838,0.6175,0.0311
2.9056,2.2318,0.6297,0.0323
2.8716,2.2005,0.6274,0.031
2.8371,2.1489,0.6443,0.0321
2.8932,2.2278,0.6221,0.0319
3.1097,2.4157,0.6502,0.0319
2.8672,2.2052,0.6203,0.03
2.9569,2.2735,0.6411,0.0307
3.0207,2.3508,0.6276,0.0307
2.8964,2.1983,0.6546,0.0318
2.924,2.2471,0.6334,0.0315
2.9386,2.2581,0.637,0.0315
3.0252,2.3528,0.6291,0.0313
2.9412,2.2576,0.6402,0.0313
2.8754,2.2058,0.6262,0.0314
2.9009,2.2181,0.6389,0.0319
2.9608,2.2706,0.6276,0.0508
2.9111,2.205,0.6631,0.0311
2.8452,2.1859,0.6165,0.031
3.0887,2.3969,0.6489,0.0308
2.9083,2.2492,0.6163,0.0312
2.9147,2.2307,0.6408,0.0307
2.8127,2.1543,0.6164,0.0303
3.0572,2.3885,0.626,0.0309
2.9018,2.2407,0.6168,0.0308
3.001,2.3188,0.6395,0.031
2.8544,2.1931,0.6179,0.0317
2.8112,2.1439,0.6255,0.0303
2.8532,2.1938,0.6171,0.0303
2.8584,2.1836,0.6313,0.0314
2.8103,2.1409,0.6241,0.0305
2.8723,2.1886,0.6414,0.0305
2.8481,2.1912,0.6144,0.0308
2.8189,2.1573,0.6203,0.03
2.9569,2.2929,0.6203,0.0305
2.889,2.1933,0.6505,0.0332
2.886,2.2235,0.6199,0.0312
2.9039,2.219,0.6411,0.0323
2.8641,2.2069,0.615,0.0305
2.8609,2.1733,0.6453,0.0304
2.997,2.3366,0.6177,0.0307
2.8441,2.1665,0.6358,0.0304
2.8273,2.1671,0.6177,0.0307
2.9066,2.2277,0.6366,0.0307
2.8463,2.1868,0.6174,0.0304
2.9353,2.2568,0.6361,0.0306
2.8631,2.2031,0.6179,0.0305
2.8608,2.1801,0.6381,0.031
2.8546,2.1969,0.6148,0.0314
2.9142,2.2268,0.6443,0.0313
2.9376,2.2781,0.6174,0.0306
2.8952,2.2188,0.6341,0.0301
2.8506,2.1922,0.6162,0.0301
2.934,2.2701,0.6218,0.0306
